provider_id,provider_type,region,network_status,prior_auth_volume_band,avg_incomplete_submission_rate,avg_response_time_days,provider_risk_segment
PRV-0284,Hospital,Southeast,In-Network,Very High (500+/yr),0.058,8.21,Low-Risk
PRV-0285,Hospital,Southeast,In-Network,High (200-499/yr),0.107,1.35,Low-Risk
PRV-0286,Imaging Center,West,In-Network,Medium (50-199/yr),0.102,5.03,Low-Risk
PRV-0287,Hospital,Northeast,In-Network,Very High (500+/yr),0.162,1.76,Moderate-Risk
PRV-0288,Specialist,Southeast,Out-of-Network,Very High (500+/yr),0.133,2.64,Low-Risk
PRV-0289,Specialist,West,In-Network,Medium (50-199/yr),0.252,2.13,Moderate-Risk
PRV-0290,Post-Acute Facility,Northeast,Out-of-Network,Medium (50-199/yr),0.291,7.71,Moderate-Risk
PRV-0291,Behavioral Health,Southeast,In-Network,High (200-499/yr),0.194,7.46,Moderate-Risk
PRV-0292,Specialist,Northeast,In-Network,High (200-499/yr),0.116,4.92,Low-Risk
PRV-0293,Primary Care,Midwest,In-Network,Low (1-49/yr),0.186,7.72,Moderate-Risk
PRV-0294,Imaging Center,West,In-Network,Low (1-49/yr),0.218,8.86,Moderate-Risk
PRV-0295,Hospital,West,In-Network,High (200-499/yr),0.17,5.18,Moderate-Risk
PRV-0296,Specialist,Midwest,In-Network,Medium (50-199/yr),0.279,4.3,Moderate-Risk
PRV-0297,Primary Care,Northeast,In-Network,Medium (50-199/yr),0.259,8.62,Moderate-Risk
PRV-0298,Specialist,Southwest,In-Network,Medium (50-199/yr),0.221,0.84,Moderate-Risk
PRV-0299,Primary Care,Midwest,In-Network,High (200-499/yr),0.249,1.01,Moderate-Risk
PRV-0300,Imaging Center,Southeast,Out-of-Network,Medium (50-199/yr),0.162,0.82,Moderate-Risk
PRV-0301,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.122,6.99,Low-Risk
PRV-0302,Surgery Center,Southeast,In-Network,Very High (500+/yr),0.155,4.29,Moderate-Risk
PRV-0303,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.135,9.26,Low-Risk
PRV-0304,Hospital,Midwest,In-Network,High (200-499/yr),0.078,6.45,Low-Risk
PRV-0305,Primary Care,West,In-Network,Low (1-49/yr),0.244,4.16,Moderate-Risk
PRV-0306,Specialist,Southeast,In-Network,High (200-499/yr),0.276,3.89,Moderate-Risk
PRV-0307,Hospital,Southeast,In-Network,High (200-499/yr),0.158,5.62,Moderate-Risk
PRV-0308,Specialist,Southeast,In-Network,Medium (50-199/yr),0.212,7.28,Moderate-Risk
PRV-0309,Surgery Center,West,In-Network,High (200-499/yr),0.143,5.46,Low-Risk
PRV-0310,Hospital,Northeast,Out-of-Network,Very High (500+/yr),0.077,2.53,Low-Risk
PRV-0311,Primary Care,Midwest,In-Network,High (200-499/yr),0.127,9.18,Low-Risk
PRV-0312,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.153,0.72,Moderate-Risk
PRV-0313,Specialist,Midwest,In-Network,Medium (50-199/yr),0.207,9.66,Moderate-Risk
PRV-0314,Primary Care,Midwest,In-Network,High (200-499/yr),0.26,0.61,Moderate-Risk
PRV-0315,Hospital,Midwest,In-Network,Very High (500+/yr),0.164,7.79,Moderate-Risk
PRV-0316,Hospital,Southeast,In-Network,Very High (500+/yr),0.11,8.77,Low-Risk
PRV-0317,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.344,3.9,High-Risk
PRV-0318,Surgery Center,Midwest,In-Network,Low (1-49/yr),0.205,1.89,Moderate-Risk
PRV-0319,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.104,2.8,Low-Risk
PRV-0320,Surgery Center,West,In-Network,High (200-499/yr),0.121,6.24,Low-Risk
PRV-0321,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.208,3.54,Moderate-Risk
PRV-0322,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.195,1.21,Moderate-Risk
PRV-0323,Specialist,Northeast,In-Network,Low (1-49/yr),0.188,0.65,Moderate-Risk
PRV-0324,Specialist,Southeast,In-Network,High (200-499/yr),0.245,2.6,Moderate-Risk
PRV-0325,Primary Care,Midwest,In-Network,High (200-499/yr),0.15,7.34,Low-Risk
PRV-0326,DME Supplier,Southeast,In-Network,High (200-499/yr),0.243,3.05,Moderate-Risk
PRV-0327,Specialist,Southeast,In-Network,High (200-499/yr),0.276,6.01,Moderate-Risk
PRV-0328,Specialist,Southeast,In-Network,High (200-499/yr),0.102,7.41,Low-Risk
PRV-0329,Primary Care,Northeast,In-Network,High (200-499/yr),0.157,9.28,Moderate-Risk
PRV-0330,Hospital,Midwest,In-Network,Very High (500+/yr),0.15,4.96,Low-Risk
PRV-0331,Hospital,Northeast,Out-of-Network,Very High (500+/yr),0.097,8.05,Low-Risk
PRV-0332,Primary Care,Northeast,In-Network,Low (1-49/yr),0.231,4.44,Moderate-Risk
PRV-0333,Post-Acute Facility,Southeast,Out-of-Network,High (200-499/yr),0.259,1.52,Moderate-Risk
PRV-0334,Hospital,Midwest,In-Network,Very High (500+/yr),0.148,9.63,Low-Risk
PRV-0335,DME Supplier,Southeast,Out-of-Network,Medium (50-199/yr),0.264,2.72,Moderate-Risk
PRV-0336,Hospital,Southwest,Out-of-Network,Medium (50-199/yr),0.121,7.26,Low-Risk
PRV-0337,Specialist,Southeast,In-Network,Low (1-49/yr),0.27,9.22,Moderate-Risk
PRV-0338,Specialist,West,In-Network,High (200-499/yr),0.134,4.7,Low-Risk
PRV-0339,Imaging Center,Southeast,In-Network,High (200-499/yr),0.209,2.83,Moderate-Risk
PRV-0340,Hospital,Midwest,In-Network,Very High (500+/yr),0.056,5.28,Low-Risk
PRV-0341,Hospital,Southeast,In-Network,Medium (50-199/yr),0.147,5.92,Low-Risk
PRV-0342,Imaging Center,West,Out-of-Network,Medium (50-199/yr),0.174,2.07,Moderate-Risk
PRV-0343,Post-Acute Facility,Southeast,In-Network,Very High (500+/yr),0.174,6.15,Moderate-Risk
PRV-0344,Specialist,Midwest,In-Network,Very High (500+/yr),0.12,8.31,Low-Risk
PRV-0345,Imaging Center,Northeast,In-Network,High (200-499/yr),0.089,3.45,Low-Risk
PRV-0346,Surgery Center,Southeast,In-Network,Low (1-49/yr),0.133,2.51,Low-Risk
PRV-0347,Hospital,Midwest,In-Network,Very High (500+/yr),0.107,6.74,Low-Risk
PRV-0348,DME Supplier,Northeast,In-Network,Low (1-49/yr),0.307,9.86,High-Risk
PRV-0349,Specialist,Midwest,Out-of-Network,High (200-499/yr),0.203,5.74,Moderate-Risk
PRV-0350,Hospital,Northeast,In-Network,Very High (500+/yr),0.115,6.57,Low-Risk
PRV-0351,Specialist,Midwest,In-Network,Medium (50-199/yr),0.249,2.56,Moderate-Risk
PRV-0352,Specialist,Midwest,In-Network,High (200-499/yr),0.198,8.24,Moderate-Risk
PRV-0353,Imaging Center,West,In-Network,Low (1-49/yr),0.124,3.72,Low-Risk
PRV-0354,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.248,0.8,Moderate-Risk
PRV-0355,Specialist,Southeast,Out-of-Network,Medium (50-199/yr),0.153,1.38,Moderate-Risk
PRV-0356,Hospital,Midwest,In-Network,Very High (500+/yr),0.057,3.3,Low-Risk
PRV-0357,Imaging Center,Southeast,In-Network,Medium (50-199/yr),0.161,4.05,Moderate-Risk
PRV-0358,DME Supplier,Midwest,In-Network,Medium (50-199/yr),0.284,6.13,Moderate-Risk
PRV-0359,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.344,6.77,High-Risk
PRV-0360,Specialist,Southeast,Out-of-Network,Low (1-49/yr),0.101,6.18,Low-Risk
PRV-0361,Specialist,West,In-Network,Very High (500+/yr),0.129,7.3,Low-Risk
PRV-0362,Primary Care,Southeast,Out-of-Network,Medium (50-199/yr),0.288,1.46,Moderate-Risk
PRV-0363,Hospital,Southeast,In-Network,Very High (500+/yr),0.07,7.74,Low-Risk
PRV-0364,Hospital,Northeast,In-Network,Very High (500+/yr),0.096,8.67,Low-Risk
PRV-0365,Primary Care,West,In-Network,Low (1-49/yr),0.127,8.79,Low-Risk
PRV-0366,Specialist,Midwest,In-Network,High (200-499/yr),0.267,1.97,Moderate-Risk
PRV-0367,Hospital,Northeast,In-Network,High (200-499/yr),0.12,9.01,Low-Risk
PRV-0368,Behavioral Health,Southwest,In-Network,High (200-499/yr),0.265,6.67,Moderate-Risk
PRV-0369,Post-Acute Facility,West,Out-of-Network,High (200-499/yr),0.299,4.58,Moderate-Risk
PRV-0370,Imaging Center,Midwest,In-Network,Medium (50-199/yr),0.093,6.61,Low-Risk
PRV-0371,Imaging Center,Northeast,In-Network,High (200-499/yr),0.206,6.63,Moderate-Risk
PRV-0372,Specialist,West,In-Network,Very High (500+/yr),0.222,2.23,Moderate-Risk
PRV-0373,Hospital,Southeast,In-Network,Very High (500+/yr),0.164,1.79,Moderate-Risk
PRV-0374,Hospital,Southeast,In-Network,High (200-499/yr),0.07,6.2,Low-Risk
PRV-0375,Imaging Center,West,In-Network,High (200-499/yr),0.176,8.54,Moderate-Risk
PRV-0376,DME Supplier,Midwest,In-Network,Medium (50-199/yr),0.376,5.7,High-Risk
PRV-0377,Home Health Agency,Northeast,In-Network,Medium (50-199/yr),0.222,0.97,Moderate-Risk
PRV-0378,Specialist,Southeast,In-Network,High (200-499/yr),0.176,1.48,Moderate-Risk
PRV-0379,Surgery Center,Southeast,In-Network,Low (1-49/yr),0.158,4.37,Moderate-Risk
PRV-0380,Specialist,Midwest,Out-of-Network,Low (1-49/yr),0.197,2.94,Moderate-Risk
PRV-0381,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.219,3.16,Moderate-Risk
PRV-0382,DME Supplier,Midwest,In-Network,Medium (50-199/yr),0.207,7.53,Moderate-Risk
PRV-0383,DME Supplier,West,In-Network,Low (1-49/yr),0.428,4.84,High-Risk
PRV-0384,Hospital,Midwest,In-Network,Very High (500+/yr),0.106,9.19,Low-Risk
PRV-0385,Hospital,Northeast,Out-of-Network,Very High (500+/yr),0.135,1.24,Low-Risk
PRV-0386,Specialist,Midwest,In-Network,Low (1-49/yr),0.211,8.66,Moderate-Risk
PRV-0387,Surgery Center,West,In-Network,Medium (50-199/yr),0.207,6.46,Moderate-Risk
PRV-0388,Hospital,Northeast,In-Network,High (200-499/yr),0.103,3.78,Low-Risk
PRV-0389,Specialist,Southeast,In-Network,Very High (500+/yr),0.17,9.81,Moderate-Risk
PRV-0390,Hospital,Midwest,Out-of-Network,High (200-499/yr),0.111,3.54,Low-Risk
PRV-0391,Post-Acute Facility,Midwest,In-Network,Very High (500+/yr),0.144,8.16,Low-Risk
PRV-0392,Home Health Agency,Southeast,In-Network,High (200-499/yr),0.167,5.63,Moderate-Risk
PRV-0393,Hospital,Midwest,In-Network,High (200-499/yr),0.15,9.44,Low-Risk
PRV-0394,DME Supplier,West,In-Network,Medium (50-199/yr),0.349,6.68,High-Risk
PRV-0395,Specialist,Southeast,In-Network,Medium (50-199/yr),0.167,7.0,Moderate-Risk
PRV-0396,Specialist,West,Out-of-Network,Medium (50-199/yr),0.111,2.46,Low-Risk
PRV-0397,Surgery Center,Northeast,In-Network,Medium (50-199/yr),0.101,1.94,Low-Risk
PRV-0398,DME Supplier,Midwest,In-Network,Low (1-49/yr),0.298,5.46,Moderate-Risk
PRV-0399,Surgery Center,Southeast,In-Network,Very High (500+/yr),0.164,9.58,Moderate-Risk
PRV-0400,Specialist,Southeast,In-Network,Low (1-49/yr),0.239,2.66,Moderate-Risk
PRV-0401,Specialist,Midwest,In-Network,High (200-499/yr),0.116,4.43,Low-Risk
PRV-0402,Hospital,Southeast,In-Network,Very High (500+/yr),0.175,1.92,Moderate-Risk
PRV-0403,Primary Care,Northeast,In-Network,Low (1-49/yr),0.248,8.84,Moderate-Risk
PRV-0404,Hospital,Midwest,In-Network,Very High (500+/yr),0.084,3.13,Low-Risk
PRV-0405,Surgery Center,Northeast,Out-of-Network,Medium (50-199/yr),0.192,9.3,Moderate-Risk
PRV-0406,Imaging Center,West,In-Network,High (200-499/yr),0.111,8.51,Low-Risk
PRV-0407,Imaging Center,Midwest,In-Network,High (200-499/yr),0.197,3.39,Moderate-Risk
PRV-0408,Primary Care,West,In-Network,Low (1-49/yr),0.137,1.38,Low-Risk
PRV-0409,Imaging Center,West,In-Network,Very High (500+/yr),0.212,5.27,Moderate-Risk
PRV-0410,Surgery Center,Midwest,In-Network,Very High (500+/yr),0.214,3.45,Moderate-Risk
PRV-0411,Home Health Agency,Southwest,In-Network,Medium (50-199/yr),0.219,4.63,Moderate-Risk
PRV-0412,Specialist,Southeast,In-Network,High (200-499/yr),0.16,9.47,Moderate-Risk
PRV-0413,Hospital,Midwest,In-Network,High (200-499/yr),0.067,9.53,Low-Risk
PRV-0414,Specialist,West,In-Network,Very High (500+/yr),0.235,3.45,Moderate-Risk
PRV-0415,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.143,4.93,Low-Risk
PRV-0416,Imaging Center,Northeast,In-Network,Medium (50-199/yr),0.158,2.87,Moderate-Risk
PRV-0417,Hospital,Northeast,Out-of-Network,Very High (500+/yr),0.08,2.01,Low-Risk
PRV-0418,Behavioral Health,Southeast,In-Network,Medium (50-199/yr),0.191,0.92,Moderate-Risk
PRV-0419,Specialist,Southeast,In-Network,High (200-499/yr),0.198,5.26,Moderate-Risk
PRV-0420,Specialist,Southeast,In-Network,Low (1-49/yr),0.22,7.0,Moderate-Risk
PRV-0421,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.379,4.03,High-Risk
PRV-0422,Primary Care,Midwest,In-Network,Low (1-49/yr),0.145,8.49,Low-Risk
PRV-0423,Surgery Center,West,In-Network,Medium (50-199/yr),0.212,6.54,Moderate-Risk
PRV-0424,Specialist,West,In-Network,Low (1-49/yr),0.245,6.11,Moderate-Risk
PRV-0425,DME Supplier,Midwest,In-Network,Medium (50-199/yr),0.295,9.35,Moderate-Risk
PRV-0426,Specialist,Southeast,In-Network,High (200-499/yr),0.207,6.99,Moderate-Risk
PRV-0427,Hospital,Southeast,In-Network,High (200-499/yr),0.08,4.78,Low-Risk
PRV-0428,Surgery Center,Northeast,In-Network,High (200-499/yr),0.198,7.59,Moderate-Risk
PRV-0429,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.174,7.52,Moderate-Risk
PRV-0430,Imaging Center,Southeast,In-Network,High (200-499/yr),0.13,5.54,Low-Risk
PRV-0431,Imaging Center,Southeast,Out-of-Network,High (200-499/yr),0.197,9.96,Moderate-Risk
PRV-0432,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.144,2.92,Low-Risk
PRV-0433,Imaging Center,Northeast,Out-of-Network,Medium (50-199/yr),0.217,6.04,Moderate-Risk
PRV-0434,Specialist,Northeast,In-Network,Medium (50-199/yr),0.266,8.77,Moderate-Risk
PRV-0435,Hospital,Southeast,In-Network,Very High (500+/yr),0.122,2.46,Low-Risk
PRV-0436,Specialist,Midwest,Out-of-Network,Very High (500+/yr),0.156,2.57,Moderate-Risk
PRV-0437,Hospital,Midwest,In-Network,Very High (500+/yr),0.11,0.56,Low-Risk
PRV-0438,Specialist,West,In-Network,High (200-499/yr),0.172,4.32,Moderate-Risk
PRV-0439,Specialist,Midwest,In-Network,Medium (50-199/yr),0.274,9.93,Moderate-Risk
PRV-0440,DME Supplier,West,In-Network,Very High (500+/yr),0.23,1.71,Moderate-Risk
PRV-0441,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.21,5.6,Moderate-Risk
PRV-0442,Imaging Center,Northeast,In-Network,High (200-499/yr),0.191,8.01,Moderate-Risk
PRV-0443,Imaging Center,Southeast,In-Network,Low (1-49/yr),0.108,6.62,Low-Risk
PRV-0444,Behavioral Health,Southwest,Out-of-Network,Low (1-49/yr),0.189,4.31,Moderate-Risk
PRV-0445,Home Health Agency,Southeast,In-Network,Medium (50-199/yr),0.156,2.23,Moderate-Risk
PRV-0446,Hospital,Southeast,In-Network,High (200-499/yr),0.169,3.13,Moderate-Risk
PRV-0447,DME Supplier,Midwest,In-Network,Low (1-49/yr),0.341,8.67,High-Risk
PRV-0448,Hospital,Northeast,In-Network,Very High (500+/yr),0.063,4.19,Low-Risk
PRV-0449,Specialist,Southwest,In-Network,Low (1-49/yr),0.2,5.81,Moderate-Risk
PRV-0450,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.161,1.29,Moderate-Risk
PRV-0451,Hospital,Southeast,Out-of-Network,High (200-499/yr),0.094,5.75,Low-Risk
PRV-0452,Surgery Center,Northeast,In-Network,Very High (500+/yr),0.132,5.25,Low-Risk
PRV-0453,Primary Care,West,In-Network,Medium (50-199/yr),0.286,7.05,Moderate-Risk
PRV-0454,Hospital,Southeast,In-Network,Very High (500+/yr),0.115,5.02,Low-Risk
PRV-0455,Hospital,Southeast,In-Network,Very High (500+/yr),0.077,7.87,Low-Risk
PRV-0456,Specialist,Midwest,In-Network,High (200-499/yr),0.146,8.23,Low-Risk
PRV-0457,Imaging Center,West,In-Network,High (200-499/yr),0.214,7.97,Moderate-Risk
PRV-0458,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.248,8.57,Moderate-Risk
PRV-0459,Specialist,Northeast,In-Network,Low (1-49/yr),0.256,1.51,Moderate-Risk
PRV-0460,Hospital,Northeast,In-Network,High (200-499/yr),0.176,9.73,Moderate-Risk
PRV-0461,Imaging Center,West,In-Network,Low (1-49/yr),0.102,1.33,Low-Risk
PRV-0462,DME Supplier,West,In-Network,Medium (50-199/yr),0.331,8.28,High-Risk
PRV-0463,DME Supplier,Northeast,In-Network,High (200-499/yr),0.406,9.82,High-Risk
PRV-0464,Surgery Center,West,In-Network,Medium (50-199/yr),0.16,5.54,Moderate-Risk
PRV-0465,Post-Acute Facility,Midwest,In-Network,High (200-499/yr),0.189,2.7,Moderate-Risk
PRV-0466,Imaging Center,Southeast,In-Network,High (200-499/yr),0.217,2.22,Moderate-Risk
PRV-0467,Specialist,Midwest,In-Network,Medium (50-199/yr),0.133,5.33,Low-Risk
PRV-0468,Hospital,West,Out-of-Network,Very High (500+/yr),0.124,6.39,Low-Risk
PRV-0469,Imaging Center,Southeast,Out-of-Network,High (200-499/yr),0.173,4.72,Moderate-Risk
PRV-0470,Specialist,Northeast,In-Network,High (200-499/yr),0.238,3.69,Moderate-Risk
PRV-0471,Surgery Center,Midwest,In-Network,Very High (500+/yr),0.093,8.18,Low-Risk
PRV-0472,Primary Care,West,In-Network,Low (1-49/yr),0.273,3.73,Moderate-Risk
PRV-0473,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.176,1.1,Moderate-Risk
PRV-0474,Post-Acute Facility,Southeast,Out-of-Network,High (200-499/yr),0.214,5.26,Moderate-Risk
PRV-0475,Behavioral Health,West,In-Network,High (200-499/yr),0.197,8.38,Moderate-Risk
PRV-0476,Post-Acute Facility,Southeast,In-Network,Very High (500+/yr),0.285,5.21,Moderate-Risk
PRV-0477,Specialist,West,In-Network,High (200-499/yr),0.136,8.91,Low-Risk
PRV-0478,Primary Care,West,In-Network,Medium (50-199/yr),0.183,3.68,Moderate-Risk
PRV-0479,Hospital,Southeast,In-Network,High (200-499/yr),0.146,3.02,Low-Risk
PRV-0480,Hospital,Midwest,In-Network,High (200-499/yr),0.06,3.11,Low-Risk
PRV-0481,Hospital,Northeast,In-Network,High (200-499/yr),0.083,2.91,Low-Risk
PRV-0482,Primary Care,Midwest,In-Network,Medium (50-199/yr),0.163,7.39,Moderate-Risk
PRV-0483,Surgery Center,Southeast,In-Network,High (200-499/yr),0.185,6.43,Moderate-Risk
PRV-0484,Hospital,West,In-Network,High (200-499/yr),0.054,8.74,Low-Risk
PRV-0485,Specialist,Southeast,In-Network,High (200-499/yr),0.274,2.39,Moderate-Risk
PRV-0486,Imaging Center,Northeast,In-Network,High (200-499/yr),0.209,2.85,Moderate-Risk
PRV-0487,Surgery Center,Northeast,Out-of-Network,High (200-499/yr),0.122,8.21,Low-Risk
PRV-0488,Specialist,West,In-Network,Medium (50-199/yr),0.14,1.33,Low-Risk
PRV-0489,Specialist,West,In-Network,Medium (50-199/yr),0.258,8.47,Moderate-Risk
PRV-0490,Hospital,Northeast,In-Network,Very High (500+/yr),0.056,2.69,Low-Risk
PRV-0491,Imaging Center,Southeast,In-Network,High (200-499/yr),0.168,4.25,Moderate-Risk
PRV-0492,Hospital,West,Out-of-Network,Very High (500+/yr),0.106,4.24,Low-Risk
PRV-0493,Hospital,West,In-Network,High (200-499/yr),0.055,5.11,Low-Risk
PRV-0494,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.343,7.93,High-Risk
PRV-0495,Surgery Center,West,In-Network,Medium (50-199/yr),0.186,1.34,Moderate-Risk
PRV-0496,Specialist,West,In-Network,Low (1-49/yr),0.188,8.8,Moderate-Risk
PRV-0497,Hospital,Southeast,Out-of-Network,Very High (500+/yr),0.101,5.02,Low-Risk
PRV-0498,Surgery Center,Southeast,In-Network,Medium (50-199/yr),0.108,4.56,Low-Risk
PRV-0499,Hospital,West,In-Network,High (200-499/yr),0.078,7.21,Low-Risk
PRV-0500,Imaging Center,Northeast,In-Network,Very High (500+/yr),0.163,3.77,Moderate-Risk
PRV-0501,Primary Care,Northeast,In-Network,Medium (50-199/yr),0.235,0.78,Moderate-Risk
PRV-0502,Hospital,Southwest,In-Network,High (200-499/yr),0.119,1.31,Low-Risk
PRV-0503,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.375,2.23,High-Risk
PRV-0504,DME Supplier,Southeast,In-Network,Low (1-49/yr),0.3,2.28,Moderate-Risk
PRV-0505,Imaging Center,Midwest,In-Network,High (200-499/yr),0.131,6.89,Low-Risk
PRV-0506,Surgery Center,Southeast,In-Network,Very High (500+/yr),0.215,5.26,Moderate-Risk
PRV-0507,Specialist,West,In-Network,High (200-499/yr),0.265,1.13,Moderate-Risk
PRV-0508,Specialist,Midwest,In-Network,High (200-499/yr),0.244,0.78,Moderate-Risk
PRV-0509,Hospital,Southeast,In-Network,Medium (50-199/yr),0.055,5.61,Low-Risk
PRV-0510,Surgery Center,Midwest,In-Network,High (200-499/yr),0.142,0.6,Low-Risk
PRV-0511,Hospital,Southeast,Out-of-Network,High (200-499/yr),0.159,3.62,Moderate-Risk
PRV-0512,Hospital,West,In-Network,Very High (500+/yr),0.138,5.05,Low-Risk
PRV-0513,Imaging Center,West,In-Network,Medium (50-199/yr),0.166,8.28,Moderate-Risk
PRV-0514,Specialist,West,In-Network,Medium (50-199/yr),0.219,9.51,Moderate-Risk
PRV-0515,Hospital,Midwest,In-Network,High (200-499/yr),0.147,9.51,Low-Risk
PRV-0516,Behavioral Health,Midwest,Out-of-Network,Medium (50-199/yr),0.262,9.97,Moderate-Risk
PRV-0517,Imaging Center,West,In-Network,Very High (500+/yr),0.083,6.45,Low-Risk
PRV-0518,Hospital,Southeast,In-Network,Very High (500+/yr),0.051,6.44,Low-Risk
PRV-0519,Specialist,West,In-Network,Medium (50-199/yr),0.234,9.04,Moderate-Risk
PRV-0520,Surgery Center,Southeast,In-Network,High (200-499/yr),0.164,9.61,Moderate-Risk
PRV-0521,DME Supplier,West,In-Network,Low (1-49/yr),0.241,3.02,Moderate-Risk
PRV-0522,Specialist,Midwest,In-Network,High (200-499/yr),0.144,3.86,Low-Risk
PRV-0523,Primary Care,Midwest,In-Network,High (200-499/yr),0.271,2.05,Moderate-Risk
PRV-0524,Specialist,Southeast,In-Network,High (200-499/yr),0.256,9.78,Moderate-Risk
PRV-0525,Hospital,Northeast,Out-of-Network,High (200-499/yr),0.053,1.83,Low-Risk
PRV-0526,Specialist,West,In-Network,Very High (500+/yr),0.279,9.13,Moderate-Risk
PRV-0527,Hospital,Northeast,In-Network,Very High (500+/yr),0.164,9.69,Moderate-Risk
PRV-0528,Post-Acute Facility,Midwest,In-Network,High (200-499/yr),0.182,5.4,Moderate-Risk
PRV-0529,Hospital,West,In-Network,Very High (500+/yr),0.157,5.49,Moderate-Risk
PRV-0530,Primary Care,Midwest,In-Network,High (200-499/yr),0.169,5.5,Moderate-Risk
PRV-0531,Specialist,Southeast,In-Network,High (200-499/yr),0.254,2.28,Moderate-Risk
PRV-0532,Imaging Center,West,In-Network,Very High (500+/yr),0.099,8.75,Low-Risk
PRV-0533,Specialist,Southeast,In-Network,Very High (500+/yr),0.162,4.48,Moderate-Risk
PRV-0534,Imaging Center,Southeast,In-Network,High (200-499/yr),0.154,0.89,Moderate-Risk
PRV-0535,Specialist,Midwest,In-Network,High (200-499/yr),0.192,6.4,Moderate-Risk
PRV-0536,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.265,3.72,Moderate-Risk
PRV-0537,DME Supplier,Southeast,In-Network,Medium (50-199/yr),0.391,8.91,High-Risk
PRV-0538,DME Supplier,Northeast,In-Network,Medium (50-199/yr),0.384,4.37,High-Risk
PRV-0539,Hospital,Southeast,In-Network,High (200-499/yr),0.081,6.16,Low-Risk
PRV-0540,Hospital,West,Out-of-Network,Very High (500+/yr),0.152,4.0,Moderate-Risk
PRV-0541,Hospital,Midwest,In-Network,Very High (500+/yr),0.116,6.81,Low-Risk
PRV-0542,Hospital,Southwest,In-Network,High (200-499/yr),0.151,5.22,Moderate-Risk
PRV-0543,Imaging Center,Southeast,In-Network,Very High (500+/yr),0.132,1.62,Low-Risk
PRV-0544,Specialist,Midwest,In-Network,Very High (500+/yr),0.181,2.86,Moderate-Risk
PRV-0545,Imaging Center,Northeast,In-Network,Low (1-49/yr),0.166,3.64,Moderate-Risk
PRV-0546,Hospital,Southeast,In-Network,Very High (500+/yr),0.178,4.45,Moderate-Risk
PRV-0547,DME Supplier,Northeast,In-Network,High (200-499/yr),0.431,2.38,High-Risk
PRV-0548,Imaging Center,Southeast,In-Network,High (200-499/yr),0.19,3.96,Moderate-Risk
PRV-0549,Specialist,Southwest,In-Network,Very High (500+/yr),0.262,3.0,Moderate-Risk
PRV-0550,Primary Care,West,Out-of-Network,Medium (50-199/yr),0.124,9.86,Low-Risk
PRV-0551,Imaging Center,Northeast,In-Network,High (200-499/yr),0.175,3.19,Moderate-Risk
PRV-0552,Hospital,Southeast,In-Network,Very High (500+/yr),0.065,9.32,Low-Risk
PRV-0553,Primary Care,Southeast,In-Network,Medium (50-199/yr),0.13,8.01,Low-Risk
PRV-0554,Hospital,West,Out-of-Network,High (200-499/yr),0.131,8.11,Low-Risk
PRV-0555,Home Health Agency,West,In-Network,Medium (50-199/yr),0.235,4.04,Moderate-Risk
PRV-0556,Home Health Agency,West,In-Network,High (200-499/yr),0.282,5.34,Moderate-Risk
PRV-0557,Imaging Center,Northeast,Out-of-Network,Medium (50-199/yr),0.19,7.57,Moderate-Risk
PRV-0558,Specialist,Northeast,In-Network,High (200-499/yr),0.19,5.0,Moderate-Risk
PRV-0559,Hospital,Southeast,In-Network,Very High (500+/yr),0.093,6.44,Low-Risk
PRV-0560,Imaging Center,Midwest,Out-of-Network,Medium (50-199/yr),0.162,7.9,Moderate-Risk
PRV-0561,Surgery Center,Midwest,In-Network,Very High (500+/yr),0.215,5.47,Moderate-Risk
PRV-0562,Home Health Agency,Midwest,In-Network,Very High (500+/yr),0.327,0.73,High-Risk
PRV-0563,Specialist,Midwest,In-Network,High (200-499/yr),0.166,1.38,Moderate-Risk
PRV-0564,Hospital,Southeast,In-Network,Medium (50-199/yr),0.077,6.31,Low-Risk
PRV-0565,Specialist,Southeast,In-Network,Medium (50-199/yr),0.222,2.81,Moderate-Risk
PRV-0566,Imaging Center,Midwest,In-Network,Low (1-49/yr),0.106,5.82,Low-Risk
PRV-0567,Hospital,West,In-Network,Very High (500+/yr),0.072,6.34,Low-Risk
PRV-0568,Imaging Center,Midwest,In-Network,Very High (500+/yr),0.12,4.42,Low-Risk
